Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Value_co2_emissions_kt_by_country
0.16,0.0,0.31,760.0
0.09,0.0,0.5,730.0
0.13,0.0,0.56,1029.999971
0.31,0.0,0.63,1220.000029
0.33,0.0,0.56,1029.999971
0.34,0.0,0.59,1549.999952
0.2,0.0,0.64,1759.99999
0.2,0.0,0.75,1769.999981
0.19,0.0,0.54,3559.999943
0.16,0.0,0.78,4880.000114
0.19,0.0,0.75,7110.000134
0.18,0.0,0.6,8930.000305
0.14,0.0,0.74,8079.999924
0.22,0.0,0.89,5989.999771
0.16,0.0,1.0,4880.000114
0.15,0.0,1.03,5949.999809
0.15,0.0,1.06,5300.000191
0.18,0.0,1.09,4780.00021
0.2,0.0,0.97,6070.000172
0.18,0.0,0.89,6079.999924
0.12,0.0,0.68,0.0
0.14,0.0,4.55,3170.0
0.13,0.0,3.52,3230.0
0.16,0.0,3.48,3759.99999
0.1,0.0,5.12,4070.000172
0.13,0.0,5.41,4250.0
0.07,0.0,5.32,4030.00021
0.09,0.0,4.95,4010.000229
0.07,0.0,2.76,4139.999866
0.07,0.0,3.76,4079.999924
0.0,0.0,5.2,4219.99979
0.0,0.0,7.49,4449.999809
0.06,0.0,4.09,4849.999905
0.0,0.0,4.68,4360.000134
0.0,0.0,6.89,4440.000057
0.0,0.0,4.68,4820.000172
0.0,0.0,5.84,4619.999886
0.0,0.0,7.7,4480.000019
0.0,0.0,4.48,5139.999866
0.0,0.0,8.47,5110.000134
0.0,0.0,5.17,4829.999924
0.0,0.0,5.31,0.0
23.84,0.0,0.05,80050.0
24.96,0.0,0.07,78650.0
25.94,0.0,0.06,82400.00153
27.54,0.0,0.26,88190.00244
29.14,0.0,0.25,89489.99786
31.36,0.0,0.55,94190.00244
32.9,0.0,0.22,99809.99756
34.75,0.0,0.22,102750.0
37.55,0.0,0.28,107750.0
35.91,0.0,0.3,112169.9982
42.82,0.0,0.17,114180.0003
47.67,0.0,0.5,120790.0009
53.36,0.0,0.62,134929.9927
55.99,0.0,0.33,139020.0043
60.15,0.0,0.25,147740.0055
64.46,0.0,0.22,156270.0043
66.43,0.0,0.34,154910.0037
70.86,0.0,0.64,158339.9963
71.32,0.0,0.78,165539.9933
75.85,0.0,0.84,171250.0
72.01,0.0,0.72,0.0
0.5,0.0,0.9,16200.0
0.58,0.0,1.01,15960.0
0.58,0.0,1.13,15689.99958
0.71,0.0,1.23,16760.00023
