Electricity from fossil fuels (TWh),Value_co2_emissions_kt_by_country
0.16,760.0
0.09,730.0
0.13,1029.999971
0.31,1220.000029
0.33,1029.999971
0.34,1549.999952
0.2,1759.99999
0.2,1769.999981
0.19,3559.999943
0.16,4880.000114
0.19,7110.000134
0.18,8930.000305
0.14,8079.999924
0.22,5989.999771
0.16,4880.000114
0.15,5949.999809
0.15,5300.000191
0.18,4780.00021
0.2,6070.000172
0.18,6079.999924
0.12,0.0
0.14,3170.0
0.13,3230.0
0.16,3759.99999
0.1,4070.000172
0.13,4250.0
0.07,4030.00021
0.09,4010.000229
0.07,4139.999866
0.07,4079.999924
0.0,4219.99979
0.0,4449.999809
0.06,4849.999905
0.0,4360.000134
0.0,4440.000057
0.0,4820.000172
0.0,4619.999886
0.0,4480.000019
0.0,5139.999866
0.0,5110.000134
0.0,4829.999924
0.0,0.0
23.84,80050.0
24.96,78650.0
25.94,82400.00153
27.54,88190.00244
29.14,89489.99786
31.36,94190.00244
32.9,99809.99756
34.75,102750.0
37.55,107750.0
35.91,112169.9982
42.82,114180.0003
47.67,120790.0009
53.36,134929.9927
55.99,139020.0043
60.15,147740.0055
64.46,156270.0043
66.43,154910.0037
70.86,158339.9963
71.32,165539.9933
75.85,171250.0
72.01,0.0
0.5,16200.0
0.58,15960.0
0.58,15689.99958
0.71,16760.00023
0.45,17450.00076
0.53,15810.00042
0.6,16559.99947
0.68,16969.99931
0.96,19280.00069
1.54,21149.99962
1.64,22799.99924
1.55,23870.00084
2.29,23870.00084
3.24,26959.99908
3.98,29629.99916
4.03,31649.99962
4.2,29760.00023
2.99,24250.0
2.93,23959.99908
4.38,25209.99908
4.49,0.0
0.14,330.0
0.16,350.0
0.18,389.9999857
0.2,409.9999964
0.21,400.000006
0.23,409.9999964
0.24,439.9999976
0.26,460.0000083
0.27,479.9999893
0.31,1389.999986
0.32,490.0000095
0.32,540.0000215
0.31,699.9999881
0.31,469.9999988
0.32,479.9999893
0.32,490.0000095
0.32,500.0
0.32,500.0
0.32,509.9999905
0.33,519.9999809
0.31,0.0
50.37,132270.0
42.91,125260.0
39.7,117470.0012
46.73,127660.0037
57.35,141380.0049
59.89,145990.0055
65.58,154899.9939
72.95,162809.9976
76.62,167229.9957
74.01,156570.0073
78.54,167220.0012
84.43,176639.9994
91.86,177960.0067
91.55,183250.0
92.18,179600.0061
97.18,185550.0031
100.8,183160.0037
99.4,179320.0073
98.31,176899.9939
90.56,168100.0061
91.58,0.0
2.53,3560.0
2.62,3600.0
1.48,3119.999886
1.43,3500.0
1.72,3759.99999
1.72,4460.000038
1.39,4489.999771
1.4,5199.999809
1.42,5690.000057
1.08,4510.000229
1.35,4340.000153
2.25,4940.000057
3.19,5719.99979
2.98,5500.0
3.09,5480.000019
2.63,5340.000153
2.43,5070.000172
2.7,5369.999886
3.17,5710.000038
2.86,6170.000076
2.98,0.0
0.73,2379.883
0.76,2409.219
0.77,2438.555
0.79,2563.233
0.81,2618.238
0.86,2720.914
0.85,2717.247
0.88,2823.59
0.86,2658.575
0.87,2629.239
0.78,2508.228
0.77,2500.894
0.73,1349.456
0.74,861.745
0.73,872.746
0.75,898.415
0.76,883.747
0.79,0.0
0.76,0.0
0.77,0.0
0.73,0.0
181.05,339450.0
194.33,345640.0
197.29,353369.9951
195.13,352579.9866
203.66,365809.9976
195.95,370089.9963
198.72,375489.9902
208.59,385750.0
211.06,388940.0024
216.42,395290.0085
212.5,387540.0085
213.56,386380.0049
206.75,386970.0012
195.78,380279.9988
205.46,371630.0049
197.72,377799.9878
207.66,384989.9902
209.14,389160.0037
207.45,387070.0073
196.45,386529.9988
186.92,0.0
16.41,63530.0
18.82,67910.0
18.79,69370.00275
22.82,74459.99908
22.31,75800.00305
23.61,76239.99786
21.62,74099.99847
19.74,71239.99786
19.97,70730.00336
19.12,64419.99817
22.92,69959.99908
21.35,68269.99664
17.37,65110.00061
14.09,65750.0
11.42,62049.99924
14.26,63240.00168
14.17,63680.00031
16.37,65860.00061
14.98,63060.00137
16.22,64769.99664
13.77,0.0
16.13,27690.0
16.61,26400.0
16.47,26180.00031
17.69,28569.99969
17.76,28309.99947
17.12,30040.00092
19.83,30489.99977
18.31,27629.99916
18.24,30450.00076
15.57,25500.0
14.34,24309.99947
16.57,27280.00069
19.9,30110.00061
20.56,30940.00053
22.03,32240.00168
21.66,31770.00046
